profession,skills
Аналитик Данных,"Работа с базами данных, Знание BI, Создание презентаций и отчетов для различных отделов и команд, Оценка финансовых и коммерческих показателей, Создание автоматизированных систем сбора и обработки данных, Работа с библиотеками для визуализации данных"
BI разработчик,"Владение SQL, Администрирование разных систем хранения данных, Владение PowerBI, Проектировать дашборды, Опыт работы с REST APIs, Владение Python, Коммуникативные навыки, Решение бизнес-задач на основе данных"
Frontend разработчик,"Адаптивная верстка, Владение React, Владение Vue, Разработка и оптимизация высоконагруженных сложных и масштабных веб-приложений, Оптимизация скорости загрузки и клиентской части сайта, Знание JavaScript, Коммуникативные навыки, Прототипирование и реализация пользовательского опыта, Работа с системами контроля версий"
QA инженер,"Составлять тест-кейсы и тест-планы, Осуществлять ручное тестирование приложений на разных платформах, Автоматизация тестирования, Знание Java, Знание Python, Использование инструментов для регистрации дефектов, Подготавливать отчеты по результатам тестирования, Обеспечивать поддержку и обновление существующих автоматизированных тестов"
Бизнес-аналитик,"Владение Python, Владение R, Владение SQL, Знание статистики и машинного обучения, Умение очистки и предобработки данных, Разработка отчетов и дашбордов, Коммуникативные навыки"
Графический дизайнер,"Разработка макетов, Создание и адаптация презентаций, Верстка веб-приложений, Разрабатывать и оформлять контент в соответствии с ТЗ, Адаптация дизайна"
